1,6.907E-07,2.377E-06,1.711E-06,1.702E-06,3.639E-07
2,1.323E-07,4.908E+01,4.908E+01,4.553E+01,1.242E+01
3,9.097E-02,2.193E+00,2.350E-01,3.380E-01,3.820E-01
4,4.975E+00,1.890E+01,9.452E+00,1.091E+01,3.681E+00
5,1.697E-07,1.088E+00,8.953E-02,1.926E-01,2.625E-01
6,8.495E+01,1.343E+04,1.219E+03,2.254E+03,2.913E+03
7,2.017E+01,6.183E+01,2.459E+01,2.555E+01,7.268E+00
8,2.025E+01,2.148E+01,2.090E+01,2.090E+01,3.238E-01
9,1.808E+02,1.808E+02,1.808E+02,1.808E+02,0.000E+00
10,1.003E+02,2.322E+02,1.004E+02,1.127E+02,3.778E+01
11,1.822E-02,4.000E+02,3.000E+02,3.267E+02,7.849E+01
12,2.320E+02,2.502E+02,2.382E+02,2.392E+02,5.023E+00
78.0,643.5541909927,14647.771002377,2142.746531711,3216.8206017019997,3058.6303003639005
